mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles
1336.0,358.0,8.955838323353293,2755.505988023952,2767.7784431137725,2766.74625748503,0.4071856287425149,0.6324850299401198,3924.211826347305,3.49191616766467,-2.028029086965917,40.47904191616767,48.66422360902258,0.2500412300751855,50.74049684210526,0.6083313774436059,50.63006390977443,0.8039922172932299,412791.0,85277.0,412731.0
1046.0,469.0,6.588910133843212,1665.610898661568,1701.3413001912045,1696.1070745697896,0.5554493307839388,0.8326959847036329,3328.35086042065,0.4667304015296367,-2.185251024232543,58.41300191204589,49.48327150294696,2.997467868369351,49.61994916502947,2.159591965618861,49.63627582514736,3.622158222003928,119675.0,13266.0,118969.0
845.0,413.0,6.461538461538462,1749.5715976331362,1767.7467455621302,1773.8994082840236,0.3313609467455621,0.8023668639053254,3818.7420118343193,0.9455621301775152,-0.6015332147114456,43.63313609467456,48.56107912154032,0.674553202166063,50.30882348977136,-0.204899877256319,49.52373989169674,0.5603068038507809,100211.0,22706.0,100012.0
1038.0,481.0,8.026974951830443,1892.336223506744,1931.5077071290943,1908.950867052023,0.4277456647398844,0.7090558766859345,3635.633911368016,0.6543352601156065,-1.8957854815001007,47.957610789980734,49.92842476998051,-2.2966210058479537,50.490680516569206,-1.6759890292397668,50.23118717348928,-1.8303787095516573,106263.0,15880.0,106005.0
847.0,434.0,8.857142857142858,2352.6115702479337,2396.9161747343564,2379.1393152302244,0.3742621015348288,0.7378984651711924,4102.677685950413,0.5584415584415584,-2.398826759526633,43.60094451003542,48.82974791314837,-2.213388821471654,50.15958063932448,-2.667780910735828,49.29693983112183,-2.888816494571774,31667.0,8497.0,31545.0
1261.0,379.0,10.04996034892942,2212.352101506741,2274.0269627279936,2265.816019032514,0.4187153053132434,0.8207771609833465,4754.591593973038,1.252339413164156,-2.7711039921984737,39.024583663758925,44.590889767814254,12.123793212169742,48.47015009623095,3.642576971130711,47.39416098636728,3.750868711307134,329728.0,57629.0,329607.0
690.0,367.0,7.746376811594203,2138.61884057971,2165.8391304347824,2163.950724637681,0.3217391304347826,0.6884057971014492,4466.589855072464,0.6781159420289855,-1.459860566299239,41.68115942028985,49.1037168228404,-3.083935578330895,50.35056382137628,-4.184752036603222,49.979103938506576,-3.707330326500733,19231.0,4338.0,19154.0
1325.0,443.0,4.9841509433962266,1239.9675471698113,1290.1615094339622,1274.7569811320757,0.3049056603773585,0.8860377358490567,3379.3381132075474,0.1679245283018871,-0.1422081231847482,48.97358490566037,51.21534461773702,-1.76251202522936,51.41140883792048,-1.3947876070336405,51.42117229357798,-1.4571662110091756,342412.0,57059.0,313422.0
1056.0,384.0,8.336174242424242,3029.478219696969,3044.724431818182,3035.2376893939395,0.3910984848484848,0.3901515151515151,4229.673295454545,2.6810606060606057,-0.7426701307753809,40.80492424242424,48.18542529582929,-12.49845962754607,50.39480216504855,-4.435073506796116,49.41601211650485,-3.91429412815534,104040.0,28872.0,103863.0
1237.0,358.0,8.012126111560226,1807.0679062247373,1843.3362974939369,1437.642683912692,0.4042037186742118,0.7857720291026677,3310.971705739693,1.5750202101859336,-4.460764237741239,47.57477768795473,47.5187918842975,0.8129154991735528,50.41472829752063,1.94096507107438,50.25046985123964,2.0341228305785126,312988.0,50917.0,312887.0
