mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles
2710.0,1158.0,7.828044280442804,1992.8365313653137,2026.2656826568264,2032.576014760148,0.8697416974169742,0.6136531365313653,3931.8966789667898,1.1882287822878228,-2.596837502451095,61.808118081180815,21.14071004034469,10.440327493145334,21.66520353758809,6.253756532106513,21.1198634275646,11.277366444792502,480532.0,66548.0,479727.0
3909.0,1196.0,9.696853415195704,2450.511639805577,2498.214888718342,2484.0079304169863,0.8083908928114607,0.555640828856485,4272.450498848811,-0.134177539012535,-2.483836561227416,55.249424405218726,19.61380691994647,18.153396350200733,18.42066851834004,20.85453204712176,18.742291131459183,20.1460911456492,1048017.0,181173.0,1046977.0
2177.0,1091.0,8.032613688562241,2111.4428112080845,2157.5153881488286,2150.4487827285257,0.8470372071658245,0.6316031235645384,4545.264584290308,0.5746440055121721,-3.0897010272022145,62.42076251722554,30.096600984344427,-2.681829167318983,29.85245383072407,-0.9003811609589044,29.715916673189827,-1.0555222470645778,160389.0,19099.0,159704.0
2611.0,1139.0,9.763309076982,2639.3446955189584,2673.9613175028726,2681.29490616622,0.8303332056683264,0.5698965913443125,4956.637686710073,-0.1202987361164294,-2.268002029163533,52.74224435082344,19.49791562815296,32.372882078112326,19.98722826891782,33.7417223734744,19.594116692682924,33.70409146544719,176355.0,43770.0,175817.0
4076.0,1212.0,13.231844946025516,3577.1616781158,3615.648920510304,3616.952404317959,0.7293915603532876,0.5448969578017664,5827.575318940138,-0.1348380765456336,-2.533762659335475,54.48478900883219,25.143968694274065,14.3174713934049,23.593874315439663,16.312720468558254,24.88899487269942,13.332882314161562,966460.0,179641.0,960755.0
2798.0,1191.0,6.803788420300214,1697.9814152966403,1750.3255897069334,1732.132952108649,0.7762687634024303,0.7444603288062902,4098.467119370979,-0.1422444603288059,-3.050676013784841,56.2723373838456,27.95693318479489,-0.616219369213403,28.964777604064736,-1.0693764207753094,28.168612149793,-1.790936633421152,291137.0,47767.0,288420.0
3232.0,1095.0,9.971534653465346,2734.356126237624,2796.1194306930693,2778.099938118812,0.8505569306930693,0.5581683168316832,4516.336014851485,1.3534962871287128,-1.8302737964551856,54.36262376237624,22.712707336557067,26.566088575112733,20.45335568794326,30.498501921340974,22.330558883945866,29.204990093487982,796717.0,154488.0,792968.0
2411.0,1136.0,7.291580257154708,1740.9622563251762,1771.0037328909166,1766.8535877229365,0.8892575694732476,0.7274989630858565,3631.9440066362495,0.5189133139776027,-2.9529295496520858,54.86520116134384,28.78963799774267,17.066528360270883,28.77291456549233,18.011721669828372,28.791777820686544,18.186169298554656,254534.0,57758.0,253553.0
3173.0,1092.0,7.364639142767097,1670.1008509297194,1707.005042546486,1714.1380397100536,0.8068074377560668,0.7453514024582414,3800.686731799559,-0.1252127324298781,-1.9688912657616384,57.22344784115979,21.5931882792732,10.695402965006688,20.869632394347235,11.83186350572003,20.30942955787348,21.792783250000003,1005758.0,135226.0,999962.0
3277.0,1193.0,8.35886481537992,2025.1473909063168,2066.402197131523,2066.971315227342,0.8159902349710101,0.5337198657308514,4341.795544705524,-0.3893500152578577,-2.8135933763300947,58.49252364967958,19.139688743448733,34.8150936968619,13.4656769217841,39.8485496997413,16.476203724450194,36.73376029204397,520323.0,88257.0,518358.0
