mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles
821.0,440.0,4.136419001218027,824.9622411693057,811.2228989037759,852.3970767356882,0.3934226552984166,0.8404384896467723,2521.677222898904,-1.085140073081608,-5.539549511700391,55.44457978075518,51.55702145966709,-5.357770061459669,51.09483695262485,-4.928578217669655,51.21158419974393,-4.80820475800256,82135.0,9908.0,77759.0
1141.0,492.0,5.849255039439089,1216.1612620508326,1228.219106047327,1259.7668711656445,0.2331288343558282,0.8290972830850132,3055.760736196319,-1.758369851007888,-4.892650268486268,44.09290096406661,51.25814029574863,-3.2760977532347497,50.46462853974122,-1.948532908502772,50.92930166358596,-2.5600322578558226,267213.0,39829.0,266979.0
1075.0,513.0,5.049302325581396,1286.2474418604652,1260.5832558139534,1304.9553488372094,0.1860465116279069,0.7888372093023256,2655.3023255813955,-1.7435348837209297,-4.338847442323723,34.70697674418604,50.57883583574888,-0.8954029932367138,50.08683696618365,-1.1264771362318826,50.145052502415545,-1.2811211932367133,85831.0,36354.0,85618.0
1295.0,554.0,5.418532818532818,1106.026254826255,1139.1521235521236,1137.2679536679536,0.3675675675675676,0.7837837837837838,3295.0718146718145,0.7052509652509653,-4.912262985453453,43.22779922779923,50.097402822966494,1.1960683771929803,47.30062525139662,5.772414021548284,48.251221333865786,3.782387484824281,112162.0,24248.0,111923.0
1019.0,497.0,6.754661432777232,1365.0637880274778,1392.343473994112,1406.2934249263983,0.2983316977428852,0.7173699705593719,3041.2129538763493,-1.972325809617272,-5.893886646450526,43.37585868498528,50.653897341513286,-1.7337449805725984,49.79396237218813,-0.1745378680981606,50.31205746421268,-1.1608890132924352,44616.0,9326.0,44409.0
1309.0,453.0,6.086325439266616,1218.8770053475937,1213.5072574484338,1238.4415584415583,0.5729564553093965,0.8059587471352178,3603.3758594346823,-2.1551566080977844,-4.1093272638432055,64.90450725744843,51.48271406650831,-1.941349578780684,50.91857280507131,-0.9268105649762308,51.01730710547185,-0.9171129421094402,459649.0,46087.0,459475.0
796.0,473.0,6.523869346733668,1398.3329145728644,1424.5464824120604,1458.9698492462312,0.2562814070351759,0.7273869346733668,3498.2010050251256,-0.9013819095477388,-5.537072032526187,43.32914572864322,51.16466306666666,-1.834132977333334,50.03483022666666,-2.4241380733333333,50.42769729333333,-2.7156209173333337,11947.0,2298.0,11610.0
1743.0,538.0,6.920252438324727,1644.383820998279,1636.987951807229,1673.1394148020654,0.1755593803786574,0.7332185886402753,3476.621916236374,-2.1274239816408493,-5.729593920802123,37.06253585771658,52.463246541617806,-5.082961228018756,51.02754923798359,-1.431961281946074,51.533679894490014,-1.9498846348182888,148403.0,48525.0,147611.0
974.0,491.0,6.262833675564682,1325.7792607802876,1359.8511293634497,1347.0256673511294,0.2114989733059548,0.7505133470225873,3271.751540041068,-1.7320328542094454,-5.658533179996562,41.02669404517454,50.7085091006424,-8.069929923982865,49.54101881623931,-7.808895007478626,49.97070433796791,-7.563633939037427,29520.0,6436.0,29230.0
993.0,406.0,4.596173212487412,1004.2960725075528,1037.9043303121853,1047.5891238670697,0.3766364551863041,0.8710976837865055,2564.968781470292,-2.2778449144008057,-5.710056584425195,48.17724068479355,52.81599452804373,-3.276807084815319,51.74539735978108,-2.1788304733242128,52.55541231190146,-2.993538868673048,172771.0,32393.0,171405.0
